,daterep,day,month,year,cases,deaths,countries_and_territories,geoid
353,15/01/2020,15,1,2020,0,0,Australia,AU
354,14/01/2020,14,1,2020,0,0,Australia,AU
355,13/01/2020,13,1,2020,0,0,Australia,AU
356,12/01/2020,12,1,2020,0,0,Australia,AU
357,11/01/2020,11,1,2020,0,0,Australia,AU
358,10/01/2020,10,1,2020,0,0,Australia,AU
359,09/01/2020,9,1,2020,0,0,Australia,AU
360,08/01/2020,8,1,2020,0,0,Australia,AU
361,07/01/2020,7,1,2020,0,0,Australia,AU
362,06/01/2020,6,1,2020,0,0,Australia,AU
363,05/01/2020,5,1,2020,0,0,Australia,AU
364,04/01/2020,4,1,2020,0,0,Australia,AU
365,03/01/2020,3,1,2020,0,0,Australia,AU
366,02/01/2020,2,1,2020,0,0,Australia,AU
367,01/01/2020,1,1,2020,0,0,Australia,AU
368,31/12/2019,31,12,2019,0,0,Australia,AU
369,24/03/2020,24,3,2020,855,9,Austria,AT
370,23/03/2020,23,3,2020,607,8,Austria,AT
371,22/03/2020,22,3,2020,375,2,Austria,AT
372,21/03/2020,21,3,2020,453,0,Austria,AT
373,20/03/2020,20,3,2020,550,2,Austria,AT
374,19/03/2020,19,3,2020,314,1,Austria,AT
375,18/03/2020,18,3,2020,316,0,Austria,AT
376,17/03/2020,17,3,2020,156,2,Austria,AT
377,16/03/2020,16,3,2020,205,0,Austria,AT
378,15/03/2020,15,3,2020,151,0,Austria,AT
379,14/03/2020,14,3,2020,143,0,Austria,AT
380,13/03/2020,13,3,2020,115,1,Austria,AT
381,12/03/2020,12,3,2020,64,0,Austria,AT
382,11/03/2020,11,3,2020,51,0,Austria,AT
383,10/03/2020,10,3,2020,29,0,Austria,AT
384,09/03/2020,9,3,2020,3,0,Austria,AT
385,08/03/2020,8,3,2020,25,0,Austria,AT
386,07/03/2020,7,3,2020,33,0,Austria,AT
387,06/03/2020,6,3,2020,12,0,Austria,AT
388,05/03/2020,5,3,2020,5,0,Austria,AT
389,04/03/2020,4,3,2020,6,0,Austria,AT
390,03/03/2020,3,3,2020,4,0,Austria,AT
391,02/03/2020,2,3,2020,4,0,Austria,AT
392,01/03/2020,1,3,2020,3,0,Austria,AT
393,29/02/2020,29,2,2020,2,0,Austria,AT
394,28/02/2020,28,2,2020,3,0,Austria,AT
395,27/02/2020,27,2,2020,0,0,Austria,AT
396,26/02/2020,26,2,2020,2,0,Austria,AT
397,25/02/2020,25,2,2020,0,0,Austria,AT
398,24/02/2020,24,2,2020,0,0,Austria,AT
399,23/02/2020,23,2,2020,0,0,Austria,AT
400,22/02/2020,22,2,2020,0,0,Austria,AT
401,21/02/2020,21,2,2020,0,0,Austria,AT
